reading rating file ...
splitting dataset ...
reading KG file ...
appending kg for train dataset...
appending kg for eval dataset...
appending kg for test dataset...
data loaded.
++++++ Training On lr=0.005 and kg_weight=0.05: +++++++
epoch 0    train auc: 0.9312  acc: 0.8532    eval auc: 0.9018  acc: 0.8268    test auc: 0.9015  acc: 0.8260
epoch 1    train auc: 0.9483  acc: 0.8754    eval auc: 0.9067  acc: 0.8340    test auc: 0.9059  acc: 0.8321
epoch 2    train auc: 0.9556  acc: 0.8854    eval auc: 0.9072  acc: 0.8350    test auc: 0.9065  acc: 0.8329
epoch 3    train auc: 0.9587  acc: 0.8899    eval auc: 0.9075  acc: 0.8357    test auc: 0.9072  acc: 0.8342
epoch 4    train auc: 0.9606  acc: 0.8929    eval auc: 0.9080  acc: 0.8370    test auc: 0.9075  acc: 0.8347
epoch 5    train auc: 0.9619  acc: 0.8947    eval auc: 0.9087  acc: 0.8373    test auc: 0.9079  acc: 0.8352
epoch 6    train auc: 0.9626  acc: 0.8958    eval auc: 0.9091  acc: 0.8376    test auc: 0.9086  acc: 0.8368
epoch 7    train auc: 0.9633  acc: 0.8970    eval auc: 0.9099  acc: 0.8387    test auc: 0.9091  acc: 0.8371
epoch 8    train auc: 0.9640  acc: 0.8981    eval auc: 0.9098  acc: 0.8394    test auc: 0.9090  acc: 0.8371
epoch 9    train auc: 0.9644  acc: 0.8987    eval auc: 0.9097  acc: 0.8394    test auc: 0.9090  acc: 0.8373
epoch 10    train auc: 0.9648  acc: 0.8996    eval auc: 0.9098  acc: 0.8397    test auc: 0.9089  acc: 0.8384
epoch 11    train auc: 0.9650  acc: 0.8997    eval auc: 0.9101  acc: 0.8398    test auc: 0.9094  acc: 0.8380
epoch 12    train auc: 0.9653  acc: 0.8997    eval auc: 0.9105  acc: 0.8399    test auc: 0.9095  acc: 0.8384
epoch 13    train auc: 0.9656  acc: 0.9004    eval auc: 0.9106  acc: 0.8404    test auc: 0.9096  acc: 0.8384
epoch 14    train auc: 0.9658  acc: 0.9010    eval auc: 0.9105  acc: 0.8405    test auc: 0.9094  acc: 0.8391
epoch 15    train auc: 0.9659  acc: 0.9009    eval auc: 0.9108  acc: 0.8409    test auc: 0.9098  acc: 0.8386
epoch 16    train auc: 0.9661  acc: 0.9012    eval auc: 0.9108  acc: 0.8412    test auc: 0.9099  acc: 0.8389
epoch 17    train auc: 0.9661  acc: 0.9013    eval auc: 0.9113  acc: 0.8412    test auc: 0.9104  acc: 0.8389
epoch 18    train auc: 0.9663  acc: 0.9016    eval auc: 0.9110  acc: 0.8409    test auc: 0.9101  acc: 0.8392
epoch 19    train auc: 0.9665  acc: 0.9019    eval auc: 0.9109  acc: 0.8409    test auc: 0.9098  acc: 0.8387
++++++ Training On lr=0.01 and kg_weight=0.05: +++++++
